Tweets,ID,Date,Likes,Retweets,Sentiment
Me to my  Will you with me for the rest of our lives,1.32E+18,11/10/2020 11:20,2,1,1
"Yes Offcourse, most of the tested people here are foreigners, approx 70% of the tests were for non-locals. . Local population accounts for around 12% only of the total population. . and the government did all the tests for free till July, including the hotel quarantine.",1.32E+18,11/10/2020 10:45,1,0,2
Tune in to Dubai Eye tomorrow at 4:00 pm. Ludmila Yamalova will be answering your legal-related inquiries. Text 4001 or call 04 871 5500 with all your questions. Listen online:,1.32E+18,11/10/2020 6:32,0,0,1
Are you sure about that sir Students died after contracting corona by attending one day exams and you're saying that by taking precautions everything will be alright Yeah upto an extend you're right but not completely. ICAI should've come up with better measures. Shame :/.,1.32E+18,11/10/2020 6:23,1,0,0
I hope Delhi government will help his family,1.32E+18,11/10/2020 5:53,0,0,2
"Using the world death rate per million population, calculated the expected deaths for each GCC country and comparing it to the number of the actual deaths, the difference shown in the graph. ",1.32E+18,11/10/2020 5:29,1,0,0
British Airways wants everyone to catch corona btw,1.32E+18,11/10/2020 5:03,1,0,0
Yours popular leader Mr.M.A.A.Fatmi suffering from coronavirus,1.32E+18,11/10/2020 5:01,0,0,0
in action Gr.2 JB Ss independently creating the necessary structures for their communities The explanation for why we still need the airport during Covid-19 was heart warming,1.32E+18,11/10/2020 4:38,0,0,2
Some mask-wearing tips.,1.32E+18,11/10/2020 3:31,0,0,1
Is it just me or was this quarantine breach down played We need more information about it. Where did he go Who was he in contact with,1.32E+18,10/10/2020 22:35,11,1,0
TWO DEADLY VIRUSES ARE KILLING NIGERIANS. COVID-19 AND SARS.,1.32E+18,10/10/2020 22:28,3,3,0
"This is a fact, there is the Spanish flu and now the Chinese Corona ",1.32E+18,10/10/2020 21:10,0,0,1
It’s becoming evidently clear that the large majority of businesses that have based their models on a COVID-19 environment will be heading for real trouble in a post-COVID world.,1.31E+18,10/10/2020 15:20,0,0,0
